#{"t_start": 1563633476.40666, "env_id": "CarRacing-v1"}
r,l,t
4097.806667,1000,2286.85574
4041.193333,1000,2295.471716
4710.326667,1000,2304.258417
1479.54,1000,2312.57711
3501.06,1000,2321.244106
3020.877778,85,2322.116736
3108.771111,85,2323.008388
-1556.793333,1000,2331.375023
4324.206667,1000,2339.994115
3430.26,85,2340.865672
3335.873333,85,2341.313615
-1112.6,78,2342.138445
4328.917778,1000,2350.722663
-5732.26,1000,2359.471051
4405.06,1000,2368.150035
2966.904444,85,2368.60781
3562.76,78,2369.439514
-1092.833333,1000,2378.144512
3562.76,78,2378.563432
-5555.593333,1000,2387.32542
4122.806667,1000,2396.014329
4681.393333,1000,2404.741736
3538.273333,90,2405.208414
3337.74,88,2406.125996
4704.06,1000,2414.739664
3563.193333,81,2415.591393
3537.073333,85,2416.02627
4650.006667,1000,2424.739379
3537.14,86,2425.630797
4685.74,1000,2434.014213
4294.526667,1000,2442.696811
3349.64,78,2443.52208
4632.373333,1000,2452.37471
4641.273333,1000,2461.047257
2726.051111,85,2461.484049
3028.46,85,2462.347828
4332.14,1000,2471.01909
4457.606667,1000,2479.279937
3537.14,85,2480.136602
3142.873333,85,2481.00631
-766.46,1000,2489.64533
-6188.073333,1000,2497.908353
4242.873333,1000,2506.514122
4639.94,1000,2515.365427
4663.66,1000,2524.171329
3562.76,78,2524.597193
3072.537778,79,2525.451908
2959.96,78,2526.289667
3402.44,78,2526.691631
3536.373333,79,2527.524441
3537.14,85,2528.410073
3362.56,76,2528.810004
2898.704444,85,2529.672737
3537.14,85,2530.546433
-8813.9,1000,2538.844057
3377.3,85,2539.702721
3335.673333,85,2540.579545
3340.671111,76,2540.978541
4437.993333,1000,2549.634687
2934.006667,85,2550.499535
3135.673333,85,2550.949474
3537.14,85,2551.809182
4661.806667,1000,2560.470628
4641.006667,1000,2569.418889
4638.273333,1000,2577.785682
4341.651111,1000,2586.489027
-280.933333,1000,2595.074598
4154.117778,1000,2603.805403
4670.726667,1000,2612.576006
4407.677778,1000,2621.252123
4648.206667,1000,2629.704597
-747.326667,1000,2638.45365
4617.571111,1000,2647.107395
1712.14,1000,2655.804758
-205.682222,1000,2664.790855
3862.193333,1000,2673.317232
1466.206667,1000,2682.119055
3889.206667,1000,2691.049658
-280.606667,1000,2699.814084
-946.126667,1000,2708.538734
2492.026667,78,2708.941662
3961.273333,1000,2717.751707
4695.193333,1000,2726.543654
-6395.9,1000,2735.223525
-748.06,1000,2743.965191
-4213.366667,1000,2752.390901
4674.073333,1000,2761.167477
-2732.526667,1000,2769.882931
-1129.393333,1000,2778.692886
-1542.562222,1000,2787.387012
3307.366667,1000,2795.71461
4478.073333,1000,2804.418827
4079.593333,1000,2813.304757
4693.326667,1000,2821.937938
669.793333,1000,2830.650706
